Pregunta,Respuesta
Respuesta Default,No tengo la informacion necesaria para responderle por favor use el formulario de contacto
No entiendo,"Mi informacion es limitada, para preguntas mas especificas por favor use el formulario de contacto."
¿Cual es el precio de los lilium?,Los lilium cuestan 3.500 pesos las 10 unidades.
¿Cuanto es el precio de los productos?,Los lilium cuestan 3.500 pesos las 10 unidades.
¿Cual es el precio de las gerberas?,Las gerberas cuestan 3.500 pesos las 10 unidades.
¿Cual es el precio de los gladiolos?,Los gladiolos cuestan 3000 pesos las 10 unidades.
¿Cuanto cuestan los  lilium?,Los lilium cuestan 3.500 pesos las 10 unidades.
¿Cuanto cuestan las gerberas?,Las gerberas cuestan 3.500 pesos las 10 unidades.
¿Cuanto cuestan los gladiolos?,Los gladiolos cuestan 3000 pesos las 10 unidades.
¿Donde puedo encontrar los precios de las flores?,"Toda la informacion sobre el precio de nuestros productos esta en la seccion de Productos. Si desea obtener un presupuesto para compras, escribanos en contacto o llamenos."
¿Ofrecen descuentos por pedidos grandes?,"Si es posible, para preguntar por descuentos llama al telefono celular 09-98276460 o escribenos en el formulario de contacto.."
¿Hacen precio por cantidades grandes?,"Si es posible, para preguntar por descuentos llama al telefono celular 09-98276460 o escribenos en el formulario de contacto.."
¿Cuanto es el pedido y cantidad minima?,No hay pedido minimo
¿Hay una cantidad minima?,No hay pedido minimo
¿Hay una cantidad maxima?,Para pedidos muy grandes por favor contactate con nosotros
¿Cuanto es el pedido maximo?,Para pedidos muy grandes por favor contactate con nosotros
¿Cuanto es el pedido minimo?,No hay pedido minimo
Quiero hacer un pedido,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.
Quiero comprar lilium,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.
Me gustaria comprar flores,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.
Muchas Gracias,Muchas Gracias a usted por interesarse en nuestros productos
Buenos dias,Muy buenos dias
Buenas tardes,Muy buenas tardes
Buenas noches,Muy buenas noches
Hasta Luego,Hasta Luego
Adios chao,Hasta Luego
hola buenas,"Hola, ¿como esta hoy?"
Muy bien gracias,Me alegro.¿Le puedo ayudar en algo?
Muy bien y usted,"Bien tambien, muchas gracias.¿Le puedo ayudar en algo?"
Muy bien y tu,"Bien tambien, muchas gracias. ¿Le puedo ayudar en algo?"
Hola como estas,Bien gracias. ¿Le puedo ayudar en algo?
¿Como te llamas?,Me llamo Rosa. Un placer atenderlo.
¿Como es tu nombre?,Me llamo Rosa. Un placer atenderlo.
Yo me llamo,Me llamo Rosa. Un placer atenderlo.
Mi nombre es,Me llamo Rosa. Un placer atenderlo.
Alo con quien hablo?,Me llamo Rosa. Un placer atenderlo.
Alo quien esta hablando?,Me llamo Rosa. Un placer atenderlo.
¿Hacen entregas a domicilio?,"Si, es posible realizar Envios a a distintas localidades."
¿Hacen Envios a domicilio?,"Si, es posible realizar Envios a a distintas localidades."
¿Hacen Envios a regiones?,"Si. Cuando realize el pedido, se le enviaran las flores por Tur-Bus."
¿Envian a Domicilio?,"Si, es posible realizar Envios a a domicilio tras una previa coordinacion durante el pedido."
¿Envian a Regiones?,"Si, es posible realizar Envios a a distintas localidades."
¿Pueden enviar a?,Es posible enviar cualquier cantidad de cualquier variedad listado en el sitio.
¿Cuanto demora el envio?,Visita Correoschile o Turbus para averiguar el tiempo de envio desde Limache por favor.
¿Cuanto toma el envio?,Visita Correoschile o Turbus para averiguar el tiempo de envio desde Limache por favor.
¿Quien paga el envio?,El costo del envio corre por parte del comprador.
¿Con quien hacen el envio?,CorreosChile o Turbus.
