Pregunta,Respuesta,Weights
Respuesta Default,No tengo la informacion necesaria para responderle por favor use el formulario de contacto,0.5 0.5
No entiendo,"Mi informacion es limitada, para preguntas mas especificas por favor use el formulario de contacto.",0.291666666667 0.708333333333
¿Cual es el precio de los lilium?,Los lilium cuestan 3.500 pesos las 10 unidades.,0.128238971118 0.111669271209 0.090744107323 0.159226461858 0.08867458562 0.108573832764 0.312872770109
¿Cual es el precio de los productos?,Los lilium cuestan 3.500 pesos las 10 unidades.,0.15676885551 0.131877939319 0.100444268016 0.203318101372 0.0973354433818 0.127227987943 0.183027404458
¿Cual es el precio de las gerberas?,Las gerberas cuestan 3.500 pesos las 10 unidades.,0.108381594698 0.0976036295776 0.0839925993401 0.128537789208 0.0826464534924 0.113308664467 0.385529269217
¿Cual es el precio de los gladiolos?,Los gladiolos cuestan 3000 pesos las 10 unidades.,0.109739208824 0.0985652729171 0.0844541881431 0.130635920131 0.0830585863522 0.0964778343411 0.397068989291
¿Cuanto cuestan los  lilium?,Los lilium cuestan 3.500 pesos las 10 unidades.,0.180084745763 0.33156779661 0.156779661017 0.33156779661
¿Cuanto cuestan las gerberas?,Las gerberas cuestan 3.500 pesos las 10 unidades.,0.162735849057 0.266509433962 0.162735849057 0.408018867925
¿Cuanto cuestan los gladiolos?,Los gladiolos cuestan 3000 pesos las 10 unidades.,0.163980509745 0.271176911544 0.147488755622 0.417353823088
¿Donde puedo encontrar los precios de las flores?,"Toda la informacion sobre el precio de nuestros productos esta en la seccion de Productos. Si desea obtener un presupuesto para compras, escribanos en contacto o llamenos.",0.134978196806 0.0832080562303 0.279934590419 0.0792257377245 0.171217295209 0.0702655210864 0.0914912787225 0.0896793238023
¿Ofrecen descuentos por pedidos grandes?,"Si es posible, para preguntar por descuentos llama al telefono celular 09-98276460 o escribenos en el formulario de contacto..",0.34 0.16 0.14 0.14 0.22
¿Hacen precio por cantidades grandes?,"Si es posible, para preguntar por descuentos llama al telefono celular 09-98276460 o escribenos en el formulario de contacto..",0.157894736842 0.136842105263 0.167543859649 0.235087719298 0.302631578947
¿Hay una cantidad minima?,No hay pedido minimo,0.183823529412 0.213235294118 0.213235294118 0.389705882353
¿Hay una cantidad maxima?,Para pedidos muy grandes por favor contactate con nosotros,0.183823529412 0.213235294118 0.213235294118 0.389705882353
¿Cuanto es el pedido maximo?,Para pedidos muy grandes por favor contactate con nosotros,0.128635712825 0.117897320515 0.108590713847 0.115340560442 0.529535692371
¿Cuanto es el pedido minimo?,No hay pedido minimo,0.128635712825 0.117897320515 0.108590713847 0.115340560442 0.529535692371
Quiero hacer un pedido,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.269184168013 0.226777059774 0.317245557351 0.186793214863
Quiero comprar lilium,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.260416666667 0.291666666667 0.447916666667
Quiero comprar flores,Para comprar por favor llamenos al telefono celular 09-98276460 o escribenos en el formulario de contacto.,0.328828828829 0.382882882883 0.288288288288
Muchas Gracias,Muchas Gracias a usted por interesarse en nuestros productos,0.583333333333 0.416666666667
Buenos dias,Muy buenos dias,0.625 0.375
Buenas tardes,Muy buenas tardes,0.375 0.625
Buenas noches,Muy buenas noches,0.375 0.625
Hasta Luego,Hasta Luego,0.5 0.5
Adios chao,Hasta Luego,0.7 0.7
hola buenas,"Hola, ¿como esta hoy?",0.7 0.7
Muy bien gracias,Me alegro.¿Le puedo ayudar en algo?,0.333333333333 0.333333333333 0.333333333333
Muy bien y tu,"Bien tambien, muchas gracias. ¿Le puedo ayudar en algo?",0.278846153846 0.278846153846 0.163461538462 0.278846153846
Hola como estas,Bien gracias. ¿Le puedo ayudar en algo?,0.266666666667 0.366666666667 0.366666666667
¿Como te llamas?,Me llamo Rosa. Un placer atenderlo.,0.179487179487 0.410256410256 0.410256410256
¿Como es tu nombre?,Me llamo Rosa. Un placer atenderlo.,0.149048096192 0.144038076152 0.353456913828 0.353456913828
Yo me llamo,Me llamo Rosa. Un placer atenderlo.,0.416666666667 0.291666666667 0.291666666667
Mi nombre es,Me llamo Rosa. Un placer atenderlo.,0.215646258503 0.582993197279 0.201360544218
con quien hablo?,Me llamo Rosa. Un placer atenderlo.,0.393939393939 0.212121212121 0.393939393939
quien esta hablando?,Me llamo Rosa. Un placer atenderlo.,0.231884057971 0.275362318841 0.492753623188
¿Hacen entregas a domicilio?,"Si, es posible realizar Envios a a distintas localidades.",0.222785206853 0.353165482658 0.127925198496 0.296124111993
¿Hacen Envios a domicilio?,"Si, es posible realizar Envios a a distintas localidades.",0.302888366828 0.130485544352 0.130321446871 0.436304641949
¿Hacen Envios a regiones?,"Si. Cuando realize el pedido, se le enviaran las flores por Tur-Bus.",0.234631054496 0.12838069331 0.128279561459 0.508708690735
