Question,Answer,Weights
Default Response,I don't have enough information to answer you,0.5 0.5
I don't understand,I don't have enough information to answer you,0.380952380952 0.238095238095 0.380952380952
Thank you,Thank you for writing to me,0.663341645885 0.336658354115
Good Day,Good Day,0.414893617021 0.585106382979
Good afternoon,Good afternoon,0.282608695652 0.717391304348
Good night,Good night,0.440677966102 0.559322033898
Talk to you later,Good bye,0.366827839826 0.140390901662 0.125953418687 0.366827839826
good bye,Good bye,0.282608695652 0.717391304348
hi you,Hello how are you?,0.621495327103 0.378504672897
hi hello,Hello how are you?,0.357142857143 0.642857142857
very good thank you,Nice to hear that. Can I help you with something?,0.481060107852 0.131198211232 0.288636064711 0.0991056162041
good and you,"Also good, thank you. Can I help you with something?",0.265412301333 0.521345591904 0.213242106764
how are you,"Good, thank you. Can I help you with something?",0.357982717099 0.333758322709 0.308258960193
What is your name?,Mi name is Aichat. Nice to meet you.,0.201140290501 0.207781932746 0.206877221863 0.384200554889
My name is,Mi name is Aichat. Nice to meet you.,0.587265917603 0.256928838951 0.155805243446
who is this?,Mi name is Aichat. Nice to meet you.,0.289940828402 0.246153846154 0.463905325444
ok thanks,Ok.,0.666666666667 0.333333333333
yes thanks,Ok.,0.666666666667 0.333333333333
what is your favorite color?,It is Blue,0.101254823314 0.105387673245 0.104824704905 0.114755466423 0.573777332113
where are you from,From somewhere exotic,0.2555268079 0.214155800907 0.193022004765 0.337295386428
what do you do,I am a bot,0.25009029983 0.251937973278 0.246033753613 0.251937973278
how old are you,Less than 1 year old,0.248404374024 0.593617496095 0.135683999107 0.122294130774
What do you do for a living?,I am a bot,0.098082760564 0.0993095252881 0.0953894124478 0.0993095252881 0.169912390923 0.135929912738 0.302066472751
What was that again?,Repeat the question please,0.112689926843 0.155458638154 0.193725379854 0.538126055149
Excuse me?,Repeat the question please,0.692307692308 0.307692307692
Pardon me?,Repeat the question please,0.692307692308 0.307692307692
how have you been?,"Good thanks, and you?",0.214201352851 0.209441322787 0.176514799041 0.399842525321
what have you been up to?,Not much and you?,0.108455111809 0.135072300421 0.105874340743 0.303912675947 0.222869295694 0.123816275386
The weather is great isnt it?,Yes it is,0.0539217546389 0.171062118165 0.0480021249953 0.299358706789 0.299358706789 0.128296588624
How is the weather there?,"The weather is nice here, and there?",0.133947723392 0.112469225472 0.124241366625 0.357193929046 0.272147755464
